state_code,source,amap_code,urban,lga_code,LGA,ward_name,ward_code,global_id
EN,INEC,,1,14004,Enugu North,Umunevo/Afia Nine,ENSENU10,00163580-f0ca-4576-8c88-dcee16453ec1
EN,INEC,,0,14006,Ezeagu,Oghe 2,ENSAGW10,001b1efd-4cb7-4163-b1ca-b651dd440203
EN,INEC,,0,14009,Igbo-Eze-South,Ovoko Ajuona,ENSBBG12,00513db9-e1fd-48e0-9d83-380b24933a7a
EN,INEC,,0,14007,Igbo-Etiti,Ekwegbe 2,ENSGBO17,0067ee99-d2ec-48cb-9086-f327012c4d03
EN,INEC,,0,14003,Enugu East,Mbuluowehe 1&2,ENSNKW10,01f1e3b0-57dc-45f0-8b39-4ba4d5f3760b
EN,INEC,,0,14006,Ezeagu,Imezi Owa I/Ozom 2,ENSAGW13,04f297e7-c217-46de-92e7-1f977230e31c
EN,INEC,,1,14007,Igbo-Etiti,Aku 5,ENSGBO14,0a7d80b2-cba8-4388-bab6-e288d7ae30fa
EN,INEC,,0,14005,Enugu South,Obeagu 3,ENSUWN03,06eb1ecd-a37a-461d-9050-fec56de76a25
EN,INEC,NIE ENS UWN,0,14005,Enugu South,Obeagu Ugwuaji,ENSUWN14,07121299-da3c-43ca-a161-456e11d57435
EN,INEC,,0,14012,Nkanu West,Amurri,ENSAGN04,07385271-3e93-477f-b07c-550b32611f07
EN,INEC,,0,14014,Oji-River,Achi-Uno 1,ENSJRV04,0817d04e-ca2c-4492-84cf-7ea03e2077fc
EN,INEC,,0,14010,Isi-Uzo,Eha Amufu 2,ENSKEM02,09ab3273-ef65-4ea3-a416-73ca1f765804
EN,INEC,,0,14016,Udi,Obinagu,ENSUDD13,0ab231e2-4f7f-4904-99b4-888c9c4dc6e3
EN,INEC,,1,14013,Nsukka,Idi/Ogbozara,ENSNSK02,0be6b57d-9c07-48be-8e07-dd00e8ad5ab0
EN,INEC,,0,14015,Udenu,Orba 2,ENSBLF09,0bf8c83b-4df9-45b3-8632-66c75b579426
EN,INEC,,0,14007,Igbo-Etiti,Ozalla 1,ENSGBO18,0e302fd4-947b-4e2a-af3b-a42a76fa0627
EN,INEC,,0,14016,Udi,Abor,ENSUDD02,0ed9cc22-5476-4dcb-bd88-2054fdd27981
EN,INEC,,0,14014,Oji-River,Oji River 1/Agbalaenyi,ENSJRV18,0ee18370-17a4-498c-a81b-e55589d439aa
